session,subject,batch,scenario,state,seg_index,t0,t1,n_win,amp_mean,amp_std_time,mad_diff,mad_diff_p95,pc1_var_ratio,breath_ratio,breath_snr_max,breath_n_sub
P01_stable,P01,B,S-1,still,0,0.0,299.0,28,0.988868,0.028378,0.031239,0.059637,0.639887,0.172388,5.875712,0.000000
P02_stable,P02,B,S-1,still,0,0.0,299.0,28,0.993632,0.026866,0.029251,0.055677,0.651237,0.354670,10.309355,8.000000
P03_stable,P03,B,S-1,still,0,0.0,299.0,28,0.996337,0.026079,0.028931,0.056484,0.671666,0.196161,14.697421,13.000000
P01_motion,P01,B,S-5,still,0,0.0,120.0,11,0.991689,0.028914,0.032065,0.059688,0.673845,0.148236,nan,nan
P01_motion,P01,B,S-5,motion,1,120.0,180.0,5,0.989854,0.036280,0.030776,0.056729,0.706808,nan,nan,nan
P01_motion,P01,B,S-5,still,2,180.0,299.0,10,0.986062,0.026886,0.029750,0.055936,0.634808,0.203419,nan,nan
P02_motion,P02,B,S-5,still,0,0.0,120.0,11,0.984039,0.025264,0.027679,0.050844,0.607916,0.247903,nan,nan
P02_motion,P02,B,S-5,motion,1,120.0,180.0,5,0.990610,0.033978,0.027019,0.048726,0.613962,nan,nan,nan
P02_motion,P02,B,S-5,still,2,180.0,299.0,10,0.988649,0.025241,0.027579,0.051212,0.616234,0.200610,nan,nan
P03_motion,P03,B,S-5,still,0,0.0,120.0,11,0.995094,0.025572,0.028780,0.055963,0.640894,0.146697,nan,nan
P03_motion,P03,B,S-5,motion,1,120.0,180.0,5,0.992169,0.043316,0.032615,0.062654,0.702801,nan,nan,nan
P03_motion,P03,B,S-5,still,2,180.0,299.0,10,0.988183,0.027835,0.030184,0.059653,0.668011,0.184382,nan,nan
empty1,-,B,S-2,empty,0,0.0,299.0,28,0.987989,0.028238,0.031387,0.060124,0.677734,0.189717,8.239871,19.000000
empty2,-,B,S-2,empty,0,0.0,299.0,28,0.995418,0.023474,0.025619,0.046458,0.623159,0.171996,4.554149,0.000000
A_stable,A?,A,S-1,still,0,0.0,299.0,28,0.926849,0.023868,0.025936,0.044946,0.587814,0.233672,9.714320,3.000000
A_empty,-,A,S-2,empty,0,0.0,299.0,28,0.987339,0.023936,0.025740,0.048053,0.634176,0.214818,5.442073,0.000000
