subcarrier,still_mean,empty_mean,d_still_vs_empty,p_perm,full_sep
2,1.003400,1.027029,-0.3891,0.6500,0
3,1.007974,1.042737,-0.3260,0.7083,0
4,0.999831,1.031881,-0.2741,0.7500,0
5,0.973840,1.003079,-0.2138,0.8250,0
6,0.947748,0.974987,-0.1663,0.8667,0
7,0.946062,0.971187,-0.1360,0.8750,0
8,0.945161,0.968468,-0.0911,0.9250,0
9,0.930125,0.953625,-0.0491,0.9583,0
10,0.888298,0.911734,-0.0092,1.0000,0
11,0.858913,0.883184,0.0278,0.9917,0
12,0.845256,0.868959,0.0563,0.9917,0
13,0.834797,0.858606,0.0951,0.9833,0
14,0.837248,0.858377,0.1205,0.9000,0
15,0.853413,0.872380,0.1556,0.8333,0
16,0.871062,0.887067,0.1678,0.8167,0
17,0.877826,0.891685,0.1560,0.8583,0
18,0.871026,0.883175,0.1538,0.8583,0
19,0.855152,0.861792,0.1682,0.8500,0
20,0.855908,0.858479,0.1893,0.8333,0
21,0.882102,0.886910,0.1787,0.8500,0
22,0.876823,0.879885,0.1779,0.8500,0
23,0.834214,0.831769,0.1978,0.8250,0
24,0.818260,0.814319,0.1932,0.8250,0
25,0.829812,0.828048,0.1643,0.8250,0
26,0.836131,0.836888,0.1513,0.8333,0
27,0.836655,0.838702,0.1441,0.8667,0
28,0.848053,0.852148,0.1360,0.8833,0
29,0.877244,0.883909,0.1138,0.8917,0
30,0.910289,0.919889,0.0801,0.9583,0
31,0.920281,0.931911,0.0554,0.9667,0
32,0.922095,0.927088,0.0328,0.9833,0
33,0.873471,0.890531,0.0350,0.9917,0
34,0.908632,0.928611,0.0240,0.9917,0
35,0.934792,0.955214,0.0154,1.0000,0
36,0.947427,0.967886,0.0154,0.9917,0
37,0.950766,0.969758,0.0066,0.9833,0
38,0.948254,0.970741,-0.0095,1.0000,0
39,0.939564,0.964147,-0.0134,0.9917,0
40,0.935488,0.962201,-0.0237,1.0000,0
41,0.956029,0.985116,-0.0228,0.9917,0
42,0.994301,1.023487,-0.0263,0.9833,0
43,1.001584,1.032058,-0.0471,0.9583,0
44,0.987098,1.017514,-0.0687,0.9000,0
45,1.002306,1.033505,-0.0894,0.8917,0
46,1.031857,1.065310,-0.1061,0.8583,0
47,1.050421,1.083055,-0.1068,0.8667,0
48,1.068091,1.099155,-0.1022,0.8750,0
49,1.066693,1.093102,-0.0978,0.8750,0
50,1.051887,1.082554,-0.0962,0.8833,0
51,1.026283,1.054867,-0.0993,0.8750,0
52,1.013939,1.040955,-0.0851,0.8917,0
53,1.012760,1.040785,-0.0803,0.8833,0
54,0.992174,1.020072,-0.0607,0.9333,0
55,0.984741,1.012532,-0.0330,0.9583,0
56,1.001746,1.031301,-0.0204,0.9750,0
57,0.999151,1.030785,-0.0242,0.9917,0
58,0.990119,1.023190,-0.0259,0.9750,0
-58,1.267367,1.195998,0.4002,0.7417,0
-57,1.273544,1.191911,0.3740,0.8333,0
-56,1.271481,1.191452,0.3436,0.8333,0
-55,1.272438,1.189681,0.3109,0.8750,0
-54,1.253479,1.168659,0.2764,0.8833,0
-53,1.236618,1.148669,0.2402,0.8833,0
-52,1.221886,1.130097,0.2036,0.8750,0
-51,1.210545,1.120322,0.1653,0.8750,0
-50,1.217931,1.129581,0.1295,0.8667,0
-49,1.238244,1.151115,0.0995,0.8583,0
-48,1.246151,1.161652,0.0671,0.9000,0
-47,1.230164,1.148113,0.0394,0.9583,0
-46,1.215775,1.135670,0.0212,0.9667,0
-45,1.184388,1.119758,0.0021,1.0000,0
-44,1.162254,1.114096,-0.0136,0.9750,0
-43,1.166601,1.130886,-0.0268,0.9667,0
-42,1.137880,1.115342,-0.0423,0.9417,0
-41,1.077864,1.058813,-0.0594,0.9250,0
-40,1.058074,1.034542,-0.0847,0.9000,0
-39,1.067203,1.041134,-0.1129,0.8833,0
-38,1.057790,1.030705,-0.1392,0.8750,0
-37,1.039896,1.013013,-0.1700,0.8583,0
-36,1.027158,1.007345,-0.1937,0.8500,0
-35,1.051977,1.029586,-0.2361,0.8083,0
-34,1.079439,1.046560,-0.2924,0.7333,0
-33,1.063548,1.023487,-0.3427,0.7167,0
-32,1.031550,1.012023,-0.4013,0.6167,0
-31,0.977550,0.978208,-0.4438,0.5750,0
-30,0.998603,1.011269,-0.4714,0.5583,0
-29,0.998679,1.025512,-0.5119,0.5333,0
-28,0.978585,1.013379,-0.5508,0.4833,0
-27,0.984664,1.015561,-0.6216,0.4250,0
-26,0.975006,1.005676,-0.6732,0.3667,0
-25,0.948600,0.975895,-0.7021,0.3500,0
-24,0.943017,0.969325,-0.7389,0.3250,0
-23,0.943342,0.961501,-0.7479,0.3167,0
-22,0.948438,0.957397,-0.7284,0.3417,0
-21,0.947193,0.958525,-0.7585,0.3000,0
-20,0.931041,0.951089,-0.7919,0.2833,0
-19,0.940112,0.967629,-0.8152,0.2833,0
-18,0.958436,0.984653,-0.8407,0.2500,0
-17,0.968151,0.985493,-0.8584,0.2500,0
-16,0.978604,0.991897,-0.8634,0.2500,0
-15,0.973267,0.992288,-0.8740,0.2333,0
-14,0.958217,0.983726,-0.8883,0.2250,0
-13,0.932379,0.961682,-0.8921,0.2250,0
-12,0.915184,0.948954,-0.8856,0.2333,0
-11,0.927521,0.961731,-0.8808,0.2333,0
-10,0.938036,0.970433,-0.8721,0.2500,0
-9,0.950416,0.979805,-0.8319,0.2833,0
-8,0.963388,0.991577,-0.8156,0.2750,0
-7,0.982126,0.997123,-0.8098,0.2917,0
-6,0.991656,1.007472,-0.8006,0.3000,0
-5,1.039907,1.060322,-0.7512,0.3333,0
-4,1.071726,1.097569,-0.7279,0.3500,0
-3,1.083308,1.097982,-0.6822,0.3667,0
-2,1.054363,1.084243,-0.6296,0.4333,0
